STT,Giới tính sinh học,Bản dạng giới,Hấp dẫn tình cảm,Đối tượng hấp dẫn tình dục,Xu hướng tính dục (lần 1),Bạn có muốn xác định rõ thêm cho xu hướng tình cảm ,Bạn có thể bắt đầu mối quan hệ tình cảm với người chưa quen biết nhiều hay không?,Bạn có thể lâu lâu có hứng bắt đầu một mối quan hệ tình cảm một lần không?,Bạn nghĩ bạn được hấp dẫn tình cảm bởi bao nhiêu giới?,"Bạn có ""mù giới"" (tức không để ý giới và giới tính của đối phương) khi bắt đầu một mối quan hệ hay không?",Bạn có muốn xác định rõ thêm cho xu hướng tình dục?,Bạn có thể quan hệ tình dục với người chưa quen biết nhiều hay không?,Bạn có thể lâu lâu có hứng quan hệ tình dục một lần không?,Bạn nghĩ bạn được hấp dẫn tình dục bởi bao nhiêu giới?,"Bạn có ""mù giới"" (tức không để ý giới và giới tính của đối phương) khi quan hệ tình dục hay không?",Xu hướng tính dục
88,Nam ,Nam,Không,Nữ và giới khác (2 giới),Vô ái song tính,Có,Không hẳn,Không,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Vô ái song tính
89,Nam ,Nam,Không,Nữ và giới khác (2 giới),Vô ái song tính,Có,Có,Không,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Vô ái song tính
90,Nam ,Nam,Không,Nữ và giới khác (2 giới),Vô ái song tính,Có,Có,Có,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bán vô ái song tính
91,Nam ,Nam,Không,Nữ và giới khác (2 giới),Vô ái song tính,Không,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Vô ái song tính
92,Nam ,Nam,Không,Nữ và giới khác (2 giới),Vô ái song tính,Có,Không,Có,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Á ái song tính
93,Nam ,Nam,Không,Nữ và giới khác (2 giới),Vô ái song tính,Có,Không,Không,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Á ái song tính
94,Nam ,Nam,Không,Nữ và giới khác (2 giới),Vô ái song tính,Có,Không hẳn,Có,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bán vô ái song tính
95,Nam ,Nam,Không,Nữ và giới khác (2 giới),Vô ái song tính,Có,Không hẳn,Không,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Vô ái song tính
96,Nam ,Nam,Không,Nữ và giới khác (2 giới),Vô ái song tính,Có,Có,Không,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Vô ái song tính
97,Nam ,Nam,Không,Nữ và giới khác (2 giới),Vô ái song tính,Có,Có,Có,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bán vô ái song tính
98,Nam ,Nam,Không,Nữ và giới khác (2 giới),Vô ái song tính,Không,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Vô ái song tính
99,Nam ,Nam,Không,Nữ và giới khác (2 giới),Vô ái song tính,Có,Không,Có,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Á ái song tính
100,Nam ,Nam,Không,Nữ và giới khác (2 giới),Vô ái song tính,Có,Không,Không,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Á ái song tính
101,Nam ,Nam,Không,Nữ và giới khác (2 giới),Vô ái song tính,Có,Không hẳn,Có,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bán vô ái song tính
102,Nam ,Nam,Không,Nữ và giới khác (2 giới),Vô ái song tính,Có,Không hẳn,Không,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Vô ái song tính
103,Nam ,Nam,Không,Nữ và giới khác (2 giới),Vô ái song tính,Có,Có,Không,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Vô ái song tính
104,Nam ,Nam,Không,Nữ và giới khác (2 giới),Vô ái song tính,Có,Có,Có,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bán vô ái song tính
105,Nam ,Nam,Không,Nữ và giới khác (2 giới),Vô ái song tính,Không,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Vô ái song tính
106,Nam ,Nam,Không,Nhiều hơn hai giới ,Vô ái toàn tính,Có,Không,Có,Bỏ,Bỏ,không,không,không,Bỏ,Bỏ,Á ái toàn tính
107,Nam ,Nam,Không,Nhiều hơn hai giới ,Vô ái toàn tính,Có,Không,Không,Bỏ,Bỏ,không,không,không,Bỏ,Bỏ,Á ái toàn tính
108,Nam ,Nam,Không,Nhiều hơn hai giới ,Vô ái toàn tính,Có,Không hẳn,Có,Bỏ,Bỏ,không,không,không,Bỏ,Bỏ,Bán vô ái toàn tính
109,Nam ,Nam,Không,Nhiều hơn hai giới ,Vô ái toàn tính,Có,Không hẳn,Không,Bỏ,Bỏ,không,không,không,Bỏ,Bỏ,Vô ái toàn tính
110,Nam ,Nam,Không,Nhiều hơn hai giới ,Vô ái toàn tính,Có,Có,Không,Bỏ,Bỏ,không,không,không,Bỏ,Bỏ,Vô ái toàn tính
111,Nam ,Nam,Không,Nhiều hơn hai giới ,Vô ái toàn tính,Có,Có,Có,Bỏ,Bỏ,không,không,không,Bỏ,Bỏ,Bán vô ái toàn  tính
112,Nam ,Nam,Không,Nhiều hơn hai giới ,Vô ái toàn tính,Không,Bỏ,Bỏ,Bỏ,Bỏ,Có,Có,Có,Tất cả các giới,Có,Vô ái toàn tính (mù giới)
113,Nam ,Nam,Không,Nhiều hơn hai giới ,Vô ái toàn tính,Không,Bỏ,Bỏ,Bỏ,Bỏ,Có,Có,Có,Tất cả các giới,Không,Vô ái toàn tính (không mù giới)
114,Nam ,Nam,Không,Nhiều hơn hai giới ,Vô ái toàn tính,Không,Bỏ,Bỏ,Bỏ,Bỏ,Có,Có,Có,Nhiều hơn hai giới,Bỏ,Vô ái đa tính
115,Nam ,Nam,Không,Nhiều hơn hai giới ,Vô ái toàn tính,Không,Bỏ,Bỏ,Bỏ,Bỏ,không,Bỏ,Bỏ ,Bỏ,Bỏ,Vô ái toàn tính
116,Nam ,Nam,Không,Nhiều hơn hai giới ,Vô ái toàn tính,Có,Không,Có,Bỏ,Bỏ,Có,Bỏ,Bỏ,Tất cả các giới,Có,Á ái toàn tính (mù giới)
117,Nam ,Nam,Không,Nhiều hơn hai giới ,Vô ái toàn tính,Có,Không,Có,Bỏ,Bỏ,Có,Bỏ,Bỏ,Tất cả các giới,Không,Á ái toàn tính (không mù giới)
118,Nam ,Nam,Không,Nhiều hơn hai giới ,Vô ái toàn tính,Có,Không,Có,Bỏ,Bỏ,Có,Bỏ,Bỏ,Nhiều hơn hai giới,Bỏ,Á ái đa tính
119,Nam ,Nam,Không,Nhiều hơn hai giới ,Vô ái toàn tính,Có,Không,Không,Bỏ,Bỏ,Có,Bỏ,Bỏ,Tất cả các giới,Có,Á ái toàn tính (mù giới)
120,Nam ,Nam,Không,Nhiều hơn hai giới ,Vô ái toàn tính,Có,Không,Không,Bỏ,Bỏ,Có,Bỏ,Bỏ,Tất cả các giới,Không,Á ái toàn tính (không mù giới)
121,Nam ,Nam,Không,Nhiều hơn hai giới ,Vô ái toàn tính,Có,Không,Không,Bỏ,Bỏ,Có,Bỏ,Bỏ,Nhiều hơn hai giới,Bỏ,Á ái đa tính
122,Nam ,Nam,Không,Nhiều hơn hai giới ,Vô ái toàn tính,Có,Không hẳn,Có,Bỏ,Bỏ,Có,Bỏ,Bỏ,Tất cả các giới,Có,Bán vô ái toàn tính (mù giới)
123,Nam ,Nam,Không,Nhiều hơn hai giới ,Vô ái toàn tính,Có,Không hẳn,Có,Bỏ,Bỏ,Có,Bỏ,Bỏ,Tất cả các giới,Không,Bán vô ái toàn tính (không mù giới)
124,Nam ,Nam,Không,Nhiều hơn hai giới ,Vô ái toàn tính,Có,Không hẳn,Có,Bỏ,Bỏ,Có,Bỏ,Bỏ,Nhiều hơn hai giới,Bỏ,Bán vô ái đa tính
125,Nam ,Nam,Không,Nhiều hơn hai giới ,Vô ái toàn tính,Có,Không hẳn,Không,Bỏ,Bỏ,Có,Bỏ,Bỏ,Tất cả các giới,Có,Vô ái toàn tính (mù giới)
126,Nam ,Nam,Không,Nhiều hơn hai giới ,Vô ái toàn tính,Có,Không hẳn,Không,Bỏ,Bỏ,Có,Bỏ,Bỏ,Tất cả các giới,Không,Vô ái toàn tính (không mù giới)
127,Nam ,Nam,Không,Nhiều hơn hai giới ,Vô ái toàn tính,Có,Không hẳn,Không,Bỏ,Bỏ,Có,Bỏ,Bỏ,Nhiều hơn hai giới,Bỏ,Vô ái đa tính
128,Nam ,Nam,Không,Nhiều hơn hai giới ,Vô ái toàn tính,Có,Có,Không,Bỏ,Bỏ,Có,Bỏ,Bỏ,Tất cả các giới,Có,Vô ái toàn tính (mù giới)
129,Nam ,Nam,Không,Nhiều hơn hai giới ,Vô ái toàn tính,Có,Có,Không,Bỏ,Bỏ,Có,Bỏ,Bỏ,Tất cả các giới,Không,Vô ái toàn tính (không mù giới)
130,Nam ,Nam,Không,Nhiều hơn hai giới ,Vô ái toàn tính,Có,Có,Không,Bỏ,Bỏ,Có,Bỏ,Bỏ,Nhiều hơn hai giới,Bỏ,Vô ái đa tính
131,Nam ,Nam,Không,Nhiều hơn hai giới ,Vô ái toàn tính,Có,Có,Có,Bỏ,Bỏ,Có,Bỏ,Bỏ,Tất cả các giới,Có,Bán vô ái toàn tính (mù giới)
132,Nam ,Nam,Nữ,Không ,Dị ái vô tính,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Có,Không,Có,Bỏ,Bỏ,Dị ái á tính
133,Nam ,Nam,Nữ,Không ,Dị ái vô tính,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Có,Không,Không,Bỏ,Bỏ,Dị ái á tính
134,Nam ,Nam,Nữ,Không ,Dị ái vô tính,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Có,Không hẳn,Có,Bỏ,Bỏ,Dị ái bán vô tính
135,Nam ,Nam,Nữ,Không ,Dị ái vô tính,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Có,Không hẳn,Không,Bỏ,Bỏ,Dị ái vô tính
136,Nam ,Nam,Nữ,Không ,Dị ái vô tính,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Có,Có,Không,Bỏ,Bỏ,Dị ái vô tính
137,Nam ,Nam,Nữ,Không ,Dị ái vô tính,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Có,Có,Có,Bỏ,Bỏ,Dị ái bán vô tính
138,Nam ,Nam,Nữ,Không ,Dị ái vô tính,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Không,Bỏ,Bỏ ,Bỏ,Bỏ,Dị ái vô tính
139,Nam ,Nam,Nam,Không ,Đồng ái vô tính,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Có,Không,Có,Bỏ,Bỏ,Đồng ái á tính
140,Nam ,Nam,Nam,Không ,Đồng ái vô tính,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Có,Không,Không,Bỏ,Bỏ,Đồng ái ái á tính
141,Nam ,Nam,Nam,Không ,Đồng ái vô tính,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Có,Không hẳn,Có,Bỏ,Bỏ,Đồng ái bán vô tính
142,Nam ,Nam,Nam,Không ,Đồng ái vô tính,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Có,Không hẳn,Không,Bỏ,Bỏ,Đồng ái vô tính
